user,poems
2,"[205, 50, 338, 11208, 108, 1461, 156, 30, 545, 182, 479, 885, 62, 1900, 91, 45, 39, 21, 20, 19, 18, 94, 337, 1402, 542, 196, 193, 5238, 114, 186, 1243, 1754, 122, 43, 195, 6789, 4406, 751, 1703, 6615, 1577, 1554, 41, 3338, 58, 81, 82, 953, 93, 498, 497, 499, 187, 5218, 2010, 151, 2576, 1, 7, 3, 6, 5222, 1702, 2346, 2343, 1000, 70, 4393, 804, 5231, 1455, 5319, 1456, 2676, 2042, 5344, 1422, 5350, 4893, 4391, 1412, 53, 4157, 152, 2648, 1747, 1431, 2139, 133, 206, 2597, 14, 223, 214, 870, 5747, 5774, 4377, 85, 28, 60, 5872, 5893, 227, 2162, 1845, 5308, 6068, 2098, 322, 6325, 112, 89, 188, 78, 2508, 2370, 295, 6673, 6951, 7026, 54, 2184, 7533, 7779, 1759, 1462, 8218, 211, 4363, 8104, 2393, 4401, 11531, 1751, 4594, 430, 2168, 2677, 6980, 4148, 1242, 2005, 1705, 509, 10143, 2145, 4906, 1440, 6294, 107, 749, 4415, 1137, 7353, 2163, 36432, 37367, 12630, 754, 4248, 50222, 1558, 2363, 22698, 8]"
47,"[24077, 24062, 24078, 24080]"
57,[4605]
62,[10533]
71,"[2929, 2920, 2918, 1420, 2004, 2005, 2343, 2014, 2462, 1419, 1421, 108, 106, 1463, 2126, 103, 2690, 2376, 1362, 52, 2331, 3895, 1242, 1211, 2677, 2440, 70, 112, 114, 895, 40, 38, 744, 784, 793, 800, 809, 822, 39, 828, 888, 3436, 3955, 3986, 3990, 4006, 158, 129, 2008, 867, 870, 185, 4022, 187, 1525, 4135, 1422, 2096, 2138, 1402, 1440, 1717, 43, 4152, 331, 50, 12, 144, 14, 2052, 2796, 3172, 2958]"
79,"[4892, 12754]"
3,"[2014, 2010, 50, 338]"
4,[1]
85,"[195, 6974, 2439, 11508, 11507, 11509, 2096, 1462, 8, 4455, 953, 743, 193, 38, 2126, 2098, 139, 94, 138, 137, 4768, 107, 14817, 100, 13244, 6744, 1420, 815, 3354, 4748, 1906, 5830, 1905, 5845, 2940, 1276, 1302, 1231, 757, 7804, 2340, 14366, 10280, 853, 26681, 28736]"
92,"[7792, 7477, 15527, 7494, 15496, 9645, 7505]"
14,[39823]
96,"[5218, 4662, 58, 804]"
113,"[4704, 108]"
114,"[14114, 28108]"
125,"[50, 5646]"
150,[20550]
151,"[10808, 8530]"
176,[550]
191,[4604]
193,[5733]
214,[85]
218,[3827]
228,"[2014, 50, 1336, 1337, 1979, 2929, 2918, 129]"
239,"[2510, 6547, 1402, 114, 885, 45, 6673, 3316, 78, 3332, 3322, 79, 4638, 4643, 4612, 4636, 394, 109, 58, 1000, 6486, 3935, 6959, 6974, 549, 15349, 10363, 2477, 22335, 2478, 28208, 37066, 4696, 23896, 6071, 3887]"
256,"[46, 12863, 15058, 11310, 8219, 908]"
255,"[62, 50, 6542, 338, 6671, 6464]"
266,[183]
264,[8530]
267,"[3272, 101]"
268,"[338, 50]"
271,"[13760, 24303]"
282,"[2202, 2191, 5345]"
293,[4842]
296,[5508]
300,[1935]
302,"[3272, 87]"
308,"[89, 85]"
309,[51]
320,[545]
323,"[1601, 5172]"
326,[53]
330,[33503]
333,[940]
342,[91]
356,[51]
